Unnamed: 0,Category,lat,lon,Part of month,Observation Date,Impacted Area (ha),Country,Location Name,Data updated on,Soil_Moisture,Temperature_2m
1,Swarm,31.666666667000072,44.60000000000008,Early,2020-04-01,45.0,Iraq,Al Najaf,Tue Feb  1 16:04:44 2022,0.0769999995827674,21.286998748779297
2,Band,11.2288888888889,42.7983333333333,Middle,2021-06-18,3.0,Djibouti,Ali Sabieh,Tue Feb  1 16:04:44 2022,0.0089999996125698,29.150999069213867
18,Band,24.56638888900005,55.76444444400005,Early,2020-05-08,6.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0179999992251396,25.182998657226562
19,Swarm,2.71666666666667,34.7,Early,2020-06-30,760.0,Uganda,Naput,Tue Feb  1 16:04:44 2022,0.0729999989271164,19.34149932861328
21,Band,24.32583333300005,51.60805555600007,Middle,2020-05-11,1.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0,29.266000747680664
26,Band,24.016111111000043,55.62138888900006,Early,2020-05-06,20.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0040000001899898,26.253999710083008
30,Swarm,30.28333333300003,46.900000000000034,Middle,2020-02-20,21.0,Iraq,Allhayes,Tue Feb  1 16:04:44 2022,0.0810000002384185,16.295499801635742
32,Swarm,5.333333333000041,34.700000000000045,Middle,2020-05-13,100.0,South Sudan,Napeibur village,Tue Feb  1 16:04:44 2022,0.1889999955892563,25.107500076293945
39,Swarm,30.83333333300004,35.61666666700006,Early,2019-05-05,380.0,Jordan,Tafilah,Tue Feb  1 16:04:44 2022,0.0320000015199184,15.614999771118164
42,Band,24.354444444000023,51.60250000000008,Middle,2020-04-18,61.0,United Arab Emirates,Ras Ghumies,Tue Feb  1 16:04:44 2022,0.0,24.350500106811523
45,Band,24.29444444400008,51.61666666700006,Early,2020-05-06,3.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0,26.57000160217285
52,Band,23.89833333300004,55.48111111100008,Early,2020-05-03,8.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0,26.784500122070312
54,Band,23.662500000000023,55.57083333300005,Early,2020-05-04,3.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0,28.241498947143555
58,Swarm,30.60000000000008,46.80000000000007,Middle,2020-02-20,21.0,Iraq,Umm Anij,Tue Feb  1 16:04:44 2022,0.1280000060796737,16.66750144958496
69,Band,24.52250000000004,55.76277777800004,Early,2020-05-05,57.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.025000000372529,24.369001388549805
77,Swarm,32.6166666666667,36.3333333333333,Late,2021-04-24,100.0,Syrian Arab Republic,Al Musayfrah,Tue Feb  1 16:04:44 2022,0.248999997973442,19.607500076293945
79,Band,11.2638888888889,42.7488888888889,Middle,2021-06-15,5.0,Djibouti,Ali Sabieh,Tue Feb  1 16:04:44 2022,0.0040000001899898,29.532499313354492
89,Band,24.016111111000043,55.62111111100006,Middle,2020-04-19,20.0,United Arab Emirates,Al Arad,Tue Feb  1 16:04:44 2022,0.0,25.554000854492188
99,Band,23.52000000000004,55.48833333300007,Late,2020-04-22,300.0,United Arab Emirates,Al Qoua,Tue Feb  1 16:04:44 2022,0.0010000000474974,26.245500564575195
103,Swarm,-3.08916666666667,36.6516666666667,Late,2021-02-26,200.0,United Republic of Tanzania,Arusha Region Ormrin,Tue Feb  1 16:04:44 2022,0.1840000003576278,16.68000030517578
108,Band,24.751111111000057,55.82694444400005,Early,2020-05-02,4.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0209999997168779,28.38399887084961
115,Band,23.65805555600008,55.57027777800005,Early,2020-05-09,8.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0130000002682209,22.161001205444336
119,Swarm,11.3647222222222,42.6730555555556,Middle,2021-05-17,100.0,Djibouti,Arta,Tue Feb  1 16:04:44 2022,0.0089999996125698,27.04199981689453
120,Swarm,-4.17416666666667,37.115,Middle,2021-01-15,150.0,United Republic of Tanzania,Landanai Manyara,Tue Feb  1 16:04:44 2022,0.1990000009536743,16.93349838256836
121,Band,23.914722222000023,55.41611111100008,Early,2020-05-02,9.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0,28.972000122070312
124,Swarm,-3.78166666666667,37.2977777777778,Middle,2021-01-11,30.0,United Republic of Tanzania,Msitu wa Tembo Olcho,Tue Feb  1 16:04:44 2022,0.3240000009536743,16.730998992919922
127,Band,23.89527777800004,55.47027777800008,Early,2020-05-04,6.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0010000000474974,28.85650062561035
128,Band,23.62472222200006,55.570555556000045,Early,2020-05-01,5.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0,31.411001205444336
131,Swarm,30.666666667000072,46.30000000000007,Early,2020-03-10,400.0,Iraq,Al Muthanna area 2,Tue Feb  1 16:04:44 2022,0.0270000007003545,14.37399959564209
135,Band,23.99277777800006,55.57555555600004,Early,2020-05-04,11.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0,28.576499938964844
136,Swarm,30.60000000000008,46.60000000000008,Late,2020-02-22,18.0,Iraq,Jalibah-2,Tue Feb  1 16:04:44 2022,0.0920000001788139,9.88700008392334
140,Band,23.843333333000032,55.53277777800008,Early,2020-05-08,13.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0080000003799796,27.202499389648438
144,Swarm,-2.43527777777778,36.4163888888889,Early,2021-04-03,15.0,United Republic of Tanzania,Arusha Region,Tue Feb  1 16:04:44 2022,0.1790000051259994,16.773500442504883
145,Band,23.621666667000056,55.56888888900005,Early,2020-05-06,10.0,United Arab Emirates,survey site,Tue Feb  1 16:04:44 2022,0.0130000002682209,24.81100082397461
165,Swarm,11.4366666666667,42.6930555555556,Late,2021-01-21,100.0,Djibouti,Goubet,Tue Feb  1 16:04:44 2022,0.0109999999403953,16.1924991607666
